Gene	logFC	AveExpr	P.Value	adj.P.Val
AT4G12520	-10.2545557661161	0.35811315354525	2.20672553629448e-10	4.6519981030624e-06
AT3G30720	5.81743840056997	3.39506893729579	9.10868924616339e-10	9.60101389991852e-06
AT5G26270	2.42102962326829	4.37883351578444	4.10105113773696e-09	2.88180863448776e-05
AT3G33528	-4.78081382003153	-1.86129454157277	2.7412891128941e-07	0.00144472789472301
AT1G64795	-4.87259484813798	-1.31193604485036	5.98547069088687e-07	0.00252359415269172
AT3G05955	-4.15893948168672	-1.97311675863673	1.25744292352991e-06	0.00435007767380146
AT4G28100	-0.810060958297863	4.4653004418361	1.44445442420237e-06	0.00435007767380146
AT3G25730	1.32184722734462	3.86646916374077	5.01991073138713e-06	0.0132280922660465
AT5G05480	-0.505304232315554	4.48703313719964	1.37130919965843e-05	0.032120632486666
AT2G14878	-0.532017699517572	6.43324271586301	1.85503708708872e-05	0.0364519998298614
AT4G15248	-1.65737031898409	2.00798227673215	2.10127104336876e-05	0.0364519998298614
AT2G06995	-3.42564836377615	-2.64874397737763	2.18619724382691e-05	0.0364519998298614
AT4G01870	1.63717619791541	5.50202343390592	2.24788196854133e-05	0.0364519998298614
AT1G30080	0.850635206437337	4.62441909911511	2.46102011061581e-05	0.0370576892513514
AT3G28740	2.23438773652205	5.44340979567884	2.670670510863e-05	0.0374282113419386
AT2G37760	0.755445287491623	5.31360061308348	2.84071619691199e-05	0.0374282113419386
AT5G14370	0.926582301149072	3.60694142903185	3.33838765052045e-05	0.0404784320077245
AT1G60750	1.78100208138913	3.76020279035529	3.45624864161587e-05	0.0404784320077245
AT1G53060	-0.966809297391833	1.24155484474249	3.77232964928246e-05	0.0418549901771177
AT2G25737	0.890590565395561	3.55313038055569	4.52629656248679e-05	0.047709428916892
AT2G30400	1.07477478678326	1.89992573223147	5.73384643821664e-05	0.0575596270304976
AT5G07870	0.816753841209165	4.98958771678895	6.29098903444659e-05	0.0602819726523493
AT2G18193	0.94267643315031	3.74401049158441	6.84478988001583e-05	0.0605533334372685
AT1G62280	-1.74019588687105	2.5848113147044	6.89875641973877e-05	0.0605533334372685
AT1G15380	-0.731608616671735	7.66493563400395	7.1810319051834e-05	0.0605533334372685
AT3G13440	-0.469129548929088	5.40358306155814	7.51503032080113e-05	0.060932443920311
AT1G02220	0.880496504372998	4.74800295038378	8.32967393771515e-05	0.0650362430670271
AT3G29644	1.18031800809308	1.37902745994977	8.94188590813835e-05	0.0651370960929447
AT2G30620	-0.656985550691901	7.65193527105501	8.96056063135239e-05	0.0651370960929447
AT4G34135	1.00489316574333	6.27848878282139	9.54228125551398e-05	0.0670536103824968
AT3G45980	-0.340768081797427	7.25256447056213	9.92430765230088e-05	0.0674884934252112
AT4G34138	1.29994422169113	6.1704049744266	0.000104627990859335	0.0689269586033012
AT5G48010	2.13474691390629	5.24764418705397	0.000110781490880168	0.0707692305831767
AT3G13330	0.598158721290662	7.21561253714026	0.000161078959704621	0.099873692633327
AT5G33390	-3.21613569955242	-2.93790410549434	0.000170068973552804	0.102306874084239
AT5G15950	-1.56576499465405	5.42169139022075	0.000174709333856676	0.102306874084239
AT1G12160	-0.528795648182495	4.83549890703224	0.000188404938735419	0.106326007945853
AT4G08460	-0.404764142287142	5.71051313765861	0.000191660182246688	0.106326007945853
AT1G67890	0.429223553504849	4.97846475017503	0.000216119157531041	0.114548679522536
AT3G23060	1.96638963342977	-0.245693279704411	0.000218264194923015	0.114548679522536
AT4G19660	0.582144551917883	4.68519411448051	0.000227132284088472	0.114548679522536
AT5G62630	0.916448416635945	5.65388449314534	0.000230939684665647	0.114548679522536
AT3G45860	1.08227306069369	0.586469577731406	0.0002417866003416	0.114548679522536
AT1G70900	-0.434008958205109	4.72657107739781	0.000245234657117712	0.114548679522536
AT3G27940	1.70382668349696	-0.621506074588319	0.000255496478133011	0.114548679522536
AT4G13310	-1.1567150834491	2.27510194629227	0.000258623977303865	0.114548679522536
AT1G76690	0.904411521601452	5.3252563665052	0.000259227979442172	0.114548679522536
AT3G63430	-1.17418193125823	3.57537204220237	0.000268209830250971	0.114548679522536
AT5G23350	0.907650447839133	3.62163523448848	0.000271201459725983	0.114548679522536
AT4G21910	0.62092248894184	5.28108165498723	0.000276084316512561	0.114548679522536
AT4G35900	1.0931655145735	1.71410624370056	0.000281430653238579	0.114548679522536
AT1G28290	-0.670701568412586	9.33378538235139	0.000282554496236984	0.114548679522536
AT1G44830	-0.998812561870358	1.02396125367513	0.000295299319201153	0.116014870802079
AT4G05095	-1.49049829208361	0.306797306512054	0.000298554304091438	0.116014870802079
AT5G02500	-0.651521128701839	11.1594565612482	0.000302680987339991	0.116014870802079
AT1G78150	-0.325801090307519	6.63647126120183	0.000317011563303906	0.119337870821601
AT5G36140	2.36185039430978	-0.195342394756138	0.000354869050681317	0.129981353978718
AT3G49940	0.65954014598468	6.71948118830682	0.000360647868118062	0.129981353978718
AT4G14905	-0.506032981731765	3.85106254363882	0.000367148468118775	0.129981353978718
AT3G54220	-0.547976268402657	5.79759083749757	0.000369948353433095	0.129981353978718
AT5G17700	1.91798175247889	1.66898926554322	0.00039465661208248	0.135617493987354
AT1G07040	0.41602741918172	4.83205269907498	0.000398856061250224	0.135617493987354
AT1G53480	-0.75706362322201	2.69286809469589	0.000411313723637368	0.13763340647618
AT1G08697	-1.49060475008039	0.965085341541684	0.000420895415038881	0.138353345723904
AT5G63790	0.861593299767758	6.36272625607249	0.000426591123383794	0.138353345723904
