C91	C92	C93
583	485	387
338	428	354
248	348	277
232	314	308
0	0	0
0	0	0
577	854	1027
13	72	58
126	158	103
0	0	0
0	0	0
0	0	0
1	0	0
189	180	145
160	235	162
10	19	19
284	245	206
0	0	0
0	0	0
0	0	0
0	0	0
26	38	42
24	23	13
41	40	28
526	641	493
0	0	0
182	172	195
908	1078	838
187	170	83
295	287	230
0	0	0
619	602	529
538	212	864
106	92	136
1	0	0
423	348	291
0	5	1
210	152	136
48	75	53
41	66	50
23	11	52
4	16	29
3	1	4
6	7	13
0	1	0
3	19	18
2973	6295	5962
602	856	618
119	81	51
0	0	0
0	0	0
0	1	0
0	0	0
0	0	0
0	0	0
514	1070	464
61	147	128
679	1555	1165
0	4	0
222	230	144
508	545	443
440	407	275
35	12	22
875	1006	835
60	57	82
0	0	0
27	28	27
353	332	280
21	17	17
312	283	221
77	61	32
30	30	19
264	285	178
291	335	256
35	41	45
907	1030	889
0	0	0
1064	1069	841
164	135	107
10	2	5
0	0	0
44	15	76
29	12	35
3865	8316	6344
4	9	1
2	0	0
43	73	38
17	9	21
0	0	0
327	300	243
84	84	70
19	6	6
0	0	0
618	620	419
295	478	364
119	120	86
217	416	262
0	0	0
275	330	195
107	111	94
2	0	2
23	3	13
33	23	40
62	148	140
0	0	0
220	302	233
435	483	370
3	3	1
39	32	26
0	0	0
0	0	0
67	49	40
74	68	42
23	24	12
77	73	69
1	2	2
12	15	8
0	0	0
164	165	124
296	433	389
0	0	0
406	393	372
194	312	338
35	49	32
746	815	674
56	40	44
0	0	1
652	931	685
0	2	0
7137	10175	9696
152	130	142
631	564	591
3	2	1
1543	1860	1450
16	33	18
160	195	197
884	733	569
1	0	1
0	0	0
413	513	482
57	58	42
1438	1855	1594
81	80	66
0	0	0
20	49	63
41	51	66
500	636	615
189	145	161
7	8	8
1	2	4
961	1645	1453
0	2	4
68	127	143
315	337	295
397	396	316
0	0	0
141	96	143
349	529	302
0	0	0
742	958	761
95	202	175
345	302	316
0	0	0
0	0	0
48	34	26
34	26	25
513	478	378
3	4	1
12	23	19
14	16	13
0	0	0
198	176	138
414	290	289
629	672	575
623	656	469
1218	1035	1025
0	1	3
1662	1947	1543
139	95	99
0	0	0
51	47	35
1	0	0
105	83	54
0	0	0
1219	1733	1465
108	97	43
32	39	14
28	25	12
0	1	0
48	37	65
1	0	46
160	106	96
1077	1106	944
804	1064	868
0	0	0
2361	2884	2572
68	42	48
682	613	904
44	29	20
83	42	37
2	0	0
61	58	130
0	2	0
479	508	436
37	30	17
0	0	0
222	273	156
148	88	95
0	0	0
401	337	290
1	0	2
85	109	103
45	46	55
940	856	733
35	31	30
986	1261	1108
253	250	211
0	0	0
711	957	924
51	49	46
347	306	248
0	0	0
349	331	268
431	455	300
4257	4833	4676
36	28	57
2	0	0
279	369	388
179	93	145
1460	1218	1028
1083	494	2405
144	92	161
1349	1686	1191
120	99	64
0	0	0
0	0	0
1169	821	708
192	204	191
65	59	65
4	2	1
4331	5148	3779
15	13	13
185	157	125
689	730	657
185	91	115
1	0	0
161	212	183
14	8	7
0	0	0
323	279	278
24	4	18
824	1185	978
191	242	248
0	0	0
0	0	0
0	0	0
410	386	342
0	0	0
0	0	0
1667	1873	1458
1396	1419	1093
116	110	79
1	1	0
24	118	91
0	0	0
0	0	0
127	97	72
1430	1156	1213
222	223	167
3	2	1
23	19	28
2	0	0
304	746	592
121	37	274
2	1	1
331	392	291
0	0	0
0	0	0
301	250	209
303	421	345
5	1	5
0	0	0
2	4	2
0	0	0
644	465	410
951	1172	1061
258	300	271
0	0	0
1011	946	1270
44	31	25
12	10	12
1	4	0
111	186	130
69	68	57
30	13	30
3235	3098	2920
99	179	122
15	8	13
336	287	288
10	6	3
50	0	85
0	0	0
1321	1522	1305
906	672	560
236	267	193
1	0	0
626	858	739
472	663	527
529	741	574
230	342	311
30	30	23
76	60	71
0	0	0
134	102	76
150	110	99
691	1115	880
562	289	694
2	2	2
0	0	0
520	623	459
669	637	604
417	234	218
348	626	549
29	24	62
1	6	12
132	110	85
566	655	541
11	1	6
21	1	42
5	0	17
0	0	1
494	563	438
0	0	0
0	0	1
0	1	0
1	0	0
392	398	368
1	0	0
6	2	0
11	11	16
627	818	649
152	213	219
553	682	549
1167	1519	1049
0	0	0
0	0	0
48	115	79
125	251	206
336	252	323
0	0	0
0	0	0
6431	8704	6704
0	0	0
0	0	0
2928	4936	4178
237	181	148
53	69	70
0	0	0
457	725	677
459	426	294
393	438	417
0	1	0
368	309	281
2327	2319	1799
1	8	17
0	6	1
213	257	237
360	431	308
0	0	0
38	46	35
26	11	75
0	0	0
2	6	5
292	403	325
42	41	37
0	0	0
88	79	81
0	0	0
940	1432	1175
0	0	0
5935	4774	4323
118	116	95
1077	771	642
9	13	16
1482	1658	1354
1705	1376	1150
517	387	300
355	287	238
1	0	1
306	479	370
0	0	0
91	86	93
1	3	0
7601	9203	8360
1	1	0
39	66	50
0	0	0
416	394	301
5525	4533	4180
6953	5059	5150
4690	3889	3721
350	299	262
648	618	545
331	239	245
177	142	122
14	14	5
1071	1400	1141
133	97	92
0	1	0
296	268	222
452	487	311
2	4	1
392	373	358
93	181	205
428	632	425
0	0	0
27	23	24
0	0	0
1016	3651	2292
2	13	5
1177	1272	1119
22	10	7
0	0	0
0	0	0
299	230	199
590	420	378
0	0	0
0	2	0
0	0	0
352	441	311
3	2	8
0	0	0
108	167	118
2434	3299	3049
5180	5504	4492
291	234	223
154	80	81
85	93	84
0	0	0
229	345	305
678	519	468
13	20	27
167	109	97
96	103	72
43	52	42
60	141	78
254	433	351
8	24	11
1186	2558	1856
0	0	0
293	774	540
253	284	202
5926	4357	3867
672	754	674
218	98	615
54	35	43
148	175	110
409	292	299
1357	1765	1444
6	7	31
12	1	3
910	854	849
402	480	383
3	0	17
359	427	343
1137	1057	1074
367	347	413
222	310	242
2819	3364	2782
590	507	644
90	92	91
197	185	252
138	78	225
848	554	574
1281	1397	1244
469	292	308
983	1273	914
110	95	98
988	1105	798
93	46	44
0	0	0
866	1012	864
78	3	128
439	306	336
3	5	7
1987	2217	1676
741	730	583
98	192	176
1091	1485	1205
0	0	0
475	451	449
163	178	152
488	729	588
40	34	22
323	325	268
480	681	553
288	401	290
457	350	344
0	0	1
887	1476	1243
15	6	19
1047	1252	1159
0	0	0
1896	3117	3780
252	176	114
96	63	58
0	1	0
0	0	0
1055	1102	897
311	349	244
79	87	90
226	174	161
0	0	0
0	0	1
0	0	0
571	778	543
2459	4107	2901
204	271	202
0	0	1
208	181	174
818	885	681
171	209	311
0	0	0
312	666	561
199	221	251
1112	1378	1046
849	1077	884
0	1	2
99	103	73
57	76	69
646	646	575
707	970	821
0	1	0
469	1158	1152
605	600	473
0	0	0
656	700	728
1026	1311	1027
690	609	472
128	239	167
0	0	0
429	384	372
142	365	272
6	9	10
4	9	6
76	19	42
156	186	180
1653	1184	982
4569	3767	2988
25	29	17
189	158	157
15	0	12
0	0	0
0	0	0
0	0	0
363	437	393
0	0	0
1410	1783	1485
546	574	411
211	169	140
263	206	205
53	5	329
205	169	165
673	805	643
562	77	1329
9	24	16
0	0	0
6	6	1
5	10	18
260	251	184
0	0	1
9	9	16
22	24	31
73	50	49
103	105	95
5	2	3
1477	2136	2014
85	94	132
101	83	81
780	572	389
118	69	71
59	79	77
1	0	0
146	166	166
5	1	2
0	0	0
222	220	219
89	66	56
0	1	0
92	176	116
0	0	0
8032	15903	12568
3475	3990	3369
53	66	51
338	301	191
4632	2995	2790
76	56	36
18	30	34
0	0	1
3023	2889	2484
0	0	0
585	573	439
5440	4970	4337
300	450	370
19	11	8
0	0	0
531	441	349
0	0	0
0	0	0
43	27	31
6069	4174	3938
144	133	130
112	109	115
