C91	C92	C93
123	93	88
8	1	10
156	162	133
151	151	145
721	524	428
0	0	0
21	20	21
496	366	318
973	1040	1100
363	310	267
989	962	703
280	287	212
0	1	0
181	84	108
42	51	31
0	0	0
0	0	0
231	205	180
406	268	241
682	728	654
0	0	0
0	0	0
0	1	0
1474	1473	1171
94	87	52
806	789	674
1	0	2
334	311	200
12	16	18
971	1227	980
437	344	343
2972	5309	7779
11	16	23
507	824	660
0	0	0
0	2	2
1401	1778	1438
0	0	1
218	221	176
0	0	0
0	0	0
1039	1033	842
177	197	150
57	80	75
0	0	0
2	3	2
4	6	6
14	7	7
577	627	486
174	231	225
0	0	0
0	0	0
324	356	316
263	276	294
0	0	0
5256	3762	3219
0	1	1
2	0	1
0	1	0
119	254	212
4	5	0
409	715	548
133	125	113
1115	1194	1227
0	0	0
8	2	1
7525	8147	6468
184	236	246
2097	2104	1679
4	5	1
311	345	396
1728	2334	2074
444	365	449
581	736	757
406	398	284
560	598	474
8	6	7
166	224	144
332	352	317
1607	1764	1459
1	0	0
10	2	22
12	11	11
73	77	98
48	38	53
156	168	158
4	4	7
3	3	10
138	129	138
0	1	0
0	0	0
6	9	4
34	5	83
1265	1481	1168
0	0	0
366	690	632
163	288	224
61	59	78
409	636	440
626	1123	558
0	3	1
3102	3972	3100
249	375	321
0	0	0
74	69	50
105	124	146
4	4	6
476	284	407
4800	3738	4379
6	6	4
0	3	0
2	2	0
576	915	755
85	68	65
17	25	18
19	26	40
21	23	52
0	0	0
2	3	1
15	17	6
1	3	2
29	23	10
105	80	62
23	15	25
0	0	0
401	413	530
39	40	21
64	45	72
128	113	100
130	173	128
550	464	373
3684	4023	3009
0	0	0
902	767	581
0	0	0
167	181	122
200	276	231
482	618	542
343	389	317
654	369	781
0	0	0
0	0	0
178	114	105
1394	1668	1135
792	1098	1027
701	981	779
122	120	88
426	366	315
1	0	1
12	18	6
55	57	37
0	0	0
5	11	8
0	0	0
221	162	166
185	220	113
115	128	113
283	319	210
176	158	131
88	105	83
32	14	72
1185	1382	1253
4	3	2
2799	4856	2724
310	365	312
43	40	28
0	0	0
956	1040	815
1471	1615	1110
554	648	561
121	180	124
8436	11224	9999
94	84	60
64	54	91
0	0	0
2112	2567	1949
1	2	1
56	29	29
67	46	57
172	222	221
54	49	47
243	216	205
11	24	24
1	0	0
425	620	830
20	4	38
1876	2410	1893
1613	1661	1581
314	321	213
672	920	746
3090	1803	5982
258	254	223
0	0	0
377	325	207
85	90	75
577	438	423
169	144	121
1208	1456	1269
4	3	4
5	4	5
149	202	147
40	40	35
0	0	0
0	0	0
0	0	0
23	51	46
947	661	518
105	102	157
0	0	0
82	114	75
422	403	319
227	171	159
866	804	648
87	57	51
1452	1548	1468
0	0	0
20	57	58
272	236	176
1128	1915	1643
2537	2529	2209
0	0	0
0	0	0
86	48	43
97	354	293
54	226	196
3256	5083	4014
828	964	753
85	57	34
0	0	0
1370	2218	1663
356	316	285
0	0	0
237	223	275
86	82	78
212	181	133
712	901	663
106	164	148
176	138	105
435	335	313
44	43	26
0	0	1
165	154	104
434	384	310
59	39	45
126	117	169
12	6	7
329	301	311
0	0	0
0	0	0
0	0	0
0	3	5
4319	4607	4228
216	160	123
0	0	0
6155	6062	5352
507	306	366
0	0	0
834	1201	969
153	161	103
516	678	654
486	587	653
356	497	366
401	629	487
443	452	354
110	92	74
709	621	504
362	411	370
0	0	0
483	732	617
1	0	1
1	0	3
1207	1547	1270
561	567	520
2	3	0
270	222	169
70	103	134
14	11	11
699	755	594
385	373	309
5297	6284	5328
181	206	144
7	0	13
3	2	4
145	129	136
0	0	0
250	252	244
0	0	0
374	377	254
0	0	0
2654	3090	2506
278	380	349
483	323	599
6	1	9
66	234	145
687	794	787
293	247	233
38	24	29
17	20	16
63	96	111
15	15	7
2436	2482	2158
4513	3938	3143
1642	1635	1480
503	472	432
3	2	3
0	0	0
388	487	435
0	0	0
489	566	467
2783	2600	1944
0	0	0
793	828	712
452	634	537
259	274	290
921	1097	855
449	388	307
52	71	55
6099	6054	5284
11	3	7
1	1	1
47	19	25
36	32	24
126	135	130
10	0	16
0	0	0
0	0	0
0	0	0
0	0	0
130	135	78
18	5	9
5	3	2
177	104	99
1437	1892	1413
162	210	161
51	38	31
412	619	431
0	0	0
817	914	815
205	398	347
0	0	0
79	51	60
773	791	674
735	451	388
1130	956	741
185	180	194
631	591	585
44	50	31
464	731	733
0	0	0
21	35	34
1	1	0
260	218	208
649	702	656
1415	2132	2065
416	221	229
1987	3770	2559
1	0	0
199	268	229
2862	2453	2111
2	3	4
292	350	325
0	0	0
0	0	0
0	0	0
754	1942	847
30	48	42
2245	3088	2466
0	0	0
252	174	233
1666	1780	1522
638	649	500
255	274	225
0	0	0
66	83	55
0	1	0
644	614	568
2	0	0
343	314	273
0	3	2
691	472	447
148	241	174
0	0	0
0	0	0
0	0	0
792	588	638
240	241	221
754	487	461
0	0	2
187	183	129
163	142	178
110	146	121
0	1	3
361	336	282
926	974	807
469	422	341
113	116	90
66	50	48
142	95	75
28	35	36
2	3	2
7	9	3
1025	730	677
86	72	80
247	241	224
1287	1594	1301
753	681	599
279	268	318
216	235	185
1240	1720	1357
47	93	39
132	119	104
0	0	0
288	300	266
0	0	0
388	405	378
55	43	30
149	118	103
1	7	1
106	125	85
454	521	461
4565	5851	3863
2455	2238	1792
434	552	474
588	627	484
34	52	30
0	0	0
43	48	26
133	150	82
0	0	0
1	3	0
1574	2014	1780
8	0	4
0	0	0
1795	1726	1501
190	233	211
526	694	703
87	357	219
31	155	107
18	8	13
8	7	25
0	0	0
614	628	499
71	175	120
0	0	0
0	0	0
41	36	16
5	0	1
0	0	0
0	0	0
0	0	0
485	490	477
147	217	167
60	77	54
0	7	4
45	93	79
84	125	102
70	67	47
1062	1263	1111
550	844	605
3	4	2
223	205	126
0	0	0
374	380	387
464	764	552
169	146	115
489	551	455
43	116	95
409	443	429
2	0	0
0	0	0
179	186	165
8	5	9
188	164	167
3	3	1
2	0	2
481	534	533
1463	1564	1228
7	7	7
2	6	0
131	162	173
0	0	0
97	76	71
9	5	9
222	192	182
676	739	588
963	822	995
21	26	29
353	330	298
0	0	0
19	9	6
262	475	346
1193	1424	1063
143	112	101
20	26	12
0	0	0
0	0	0
108	283	176
377	348	316
88	47	51
387	664	528
1164	451	2284
30	30	35
10	12	24
55	121	80
63	125	90
23	16	14
28	18	7
6	18	3
486	322	413
36	17	11
2025	2539	2427
238	573	422
563	667	445
228	156	147
8	28	45
286	241	265
28	19	22
99	112	78
0	0	0
0	0	0
81	144	119
1367	1631	1386
632	812	660
0	3	0
371	426	442
13	3	4
112	75	157
14	9	2
0	0	0
487	543	593
1	5	3
194	210	169
192	146	139
28	31	22
2218	3309	2698
1075	1563	1390
831	1312	1297
0	0	0
0	0	0
499	904	715
144	133	133
0	0	0
210	322	225
0	1	0
1067	848	1236
101	82	71
0	0	0
1340	999	877
2	1	3
0	0	0
1	1	0
97	78	72
254	210	411
70	120	110
76	70	48
555	696	550
608	839	668
399	439	338
470	574	539
331	413	320
22	13	12
287	270	191
102	142	94
0	0	0
12	4	10
0	0	0
395	503	427
989	534	516
52	57	37
73	101	100
25	40	12
42	51	30
518	961	671
786	1029	786
0	0	0
118	30	306
194	178	148
51	37	36
0	0	0
207	202	164
0	1	1
195	79	473
39	23	21
50	43	29
17	13	14
54	73	33
0	0	0
0	0	0
12	9	7
681	1115	669
451	371	494
376	337	379
1538	1589	861
2019	2873	2567
296	272	231
403	446	362
1643	2484	1984
126	122	98
6	6	9
0	0	0
140	207	153
0	0	0
145	230	149
276	233	206
7298	5601	5671
0	0	0
14	75	58
0	0	0
174	446	275
344	269	276
199	330	238
0	0	0
113	130	129
0	0	0
85	101	91
5498	3974	3385
0	0	0
56	41	36
162	156	146
0	0	0
1728	1649	1743
210	151	183
41037	33618	32358
319	331	322
0	0	0
1	0	1
62	47	43
0	0	2
1001	784	784
0	0	0
71	31	58
397	310	187
232	328	298
14	13	14
77	114	62
106	61	63
3	0	0
138	182	86
1602	1171	1177
0	0	0
215	308	290
44	38	33
90	88	69
65	75	45
0	0	0
92	115	78
90	90	84
35	33	25
0	0	0
75	42	97
1	2	0
0	0	0
1	1	0
587	483	386
107	100	51
4	2	7
45	12	22
1786	1871	1476
216	381	426
262	217	282
356	479	399
2	17	10
0	0	0
277	208	200
175	121	224
0	0	0
1826	2454	2199
244	214	198
120	85	109
7091	4580	4792
0	0	0
1827	2874	2138
71	89	116
0	0	0
136	162	110
0	0	0
0	0	0
101	60	115
30	19	23
9473	6934	6229
378	418	364
1	0	0
0	0	0
0	0	0
0	0	0
10	4	5
10	16	14
0	0	0
157	153	176
0	0	0
1738	2450	2161
95	97	62
1	0	4
162	169	143
513	670	601
0	0	0
93	66	64
80	96	88
12	0	51
0	0	1
294	438	389
683	944	807
817	835	657
271	320	341
162	187	124
445	505	383
1	3	4
284	371	314
0	0	0
2	2	6
135	128	159
199	337	222
17730	32071	26812
37	27	40
313	758	790
50	21	22
3403	4157	3254
25	32	23
1795	2222	2006
3079	2873	2422
61	61	46
0	0	0
548	756	668
254	316	296
816	1051	878
598	724	567
2	0	1
117	138	143
0	1	6
124	150	149
3542	5916	5179
10	10	10
1	0	2
83	107	76
261	324	252
292	342	309
0	0	0
537	578	533
0	0	0
12	16	7
94	102	107
0	0	0
196	203	172
0	0	0
404	472	423
801	1091	985
335	400	275
0	0	0
125	127	137
22	10	9
262	368	328
82	156	135
1364	1872	1625
523	559	412
1326	1860	1573
554	1179	762
12	19	21
1	2	0
268	284	224
1339	1850	1806
243	297	225
585	1107	700
0	0	0
1	0	0
0	0	0
0	0	1
1202	1129	825
2	0	0
4510	4588	3787
94	277	250
541	603	535
1000	1007	822
3	1	2
233	275	197
65	79	47
89	104	85
367	368	294
0	0	0
0	0	0
0	0	0
25	21	17
1305	1484	1364
802	599	566
0	0	0
0	0	0
686	711	632
109	102	72
0	0	0
71	80	49
0	2	3
38	59	36
73	50	55
0	0	0
0	0	0
146	140	99
2	9	13
2948	2310	2048
0	0	0
234	186	139
165	117	116
390	348	500
18	12	10
24	17	17
389	376	384
209	218	187
276	301	312
0	0	0
0	0	0
468	362	495
0	0	0
199	163	167
119	121	86
0	0	0
61	71	89
113	90	112
78	48	51
0	1	0
387	586	484
0	0	0
917	1442	1172
0	0	0
0	0	0
122	83	90
397	433	403
80	102	62
421	502	256
406	469	341
235	232	199
129	168	149
506	367	349
1098	73	3305
78	100	52
376	384	257
913	1423	1210
0	0	0
7	0	12
310	674	607
3	3	1
189	171	184
17	8	22
792	842	734
4	0	0
45	88	67
189	238	210
0	2	2
112	111	82
0	0	2
666	596	522
1021	916	770
96	76	94
385	380	334
109	131	105
166	373	285
0	0	0
0	0	0
88	70	88
0	0	0
0	0	0
0	0	0
29	20	21
0	0	0
10	18	24
0	0	0
0	0	0
1122	1354	1123
1	0	1
867	848	680
2916	2725	2347
487	487	522
708	862	733
1043	1584	1260
16	7	14
602	536	388
41	32	63
0	0	0
803	734	533
134	148	117
7	0	35
0	0	0
643	754	622
1184	1238	1016
1522	1859	1462
6303	5422	5505
1514	1192	1102
6	10	17
314	271	209
3	0	1
0	0	0
476	483	362
7	4	5
0	0	0
0	0	0
0	0	0
35	51	39
3	6	13
14	37	19
397	364	291
1148	1714	1273
111	700	572
1373	2136	2022
814	1161	997
215	356	280
3	2	0
0	0	0
414	508	339
44	33	36
2326	1665	1497
12	21	7
860	843	1001
196	302	169
959	1527	1213
140	205	163
420	489	424
0	0	0
711	1310	1089
1387	1485	1143
335	222	203
183	193	159
262	200	129
47	34	70
304	344	287
675	762	716
954	1342	1149
0	0	0
0	0	0
359	278	260
500	812	1236
775	3305	2404
344	465	300
161	156	111
726	905	772
611	482	473
3523	3640	3033
0	0	0
0	0	0
0	0	1
0	0	0
209	235	192
0	0	0
1616	1811	1485
13	16	6
54	74	62
1393	1757	1355
403	640	492
0	0	0
0	0	0
116	123	106
1514	2390	1644
0	0	0
952	883	634
10485	15146	12746
100	148	159
101	212	148
1	0	0
422	477	517
1222	956	807
2	0	0
358	471	396
152	137	111
306	270	121
4	4	2
9	15	3
970	973	751
0	4	0
0	2	0
0	0	0
0	2	4
185	223	200
67	90	64
43	30	15
3	0	0
31	39	20
347	384	339
4	2	1
479	523	497
96	126	94
15	28	20
173	421	320
100	217	135
11	4	5
10	13	10
48	75	65
579	1021	936
524	504	447
611	777	580
4	0	2
290	260	221
307	390	330
2	2	3
438	1639	1269
116	76	96
723	624	578
4	7	6
501	467	362
151	141	131
445	345	329
759	917	789
91	42	100
65	70	51
0	0	0
150	208	181
661	702	561
304	270	218
39	27	23
0	0	0
306	263	210
0	0	0
0	0	0
0	0	0
0	0	0
742	686	572
563	439	343
2	1	3
491	456	378
825	467	733
431	706	600
115	113	101
0	0	0
587	374	358
1	0	0
83	33	102
570	828	753
1	1	6
206	258	227
0	0	0
1	0	1
2191	2045	1804
519	710	598
0	0	0
354	331	355
0	0	0
14	18	17
415	479	358
115	127	118
48	136	89
155	244	216
352	371	386
141	187	168
354	363	233
631	502	384
149	95	67
0	0	1
209	154	112
264	315	285
83	68	62
0	0	0
343	324	297
1511	1266	1512
5	10	1
359	369	323
1349	1348	1057
0	2	0
0	0	0
196	226	160
115	77	78
97	73	57
2	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
486	377	288
314	312	296
0	1	1
13	4	4
125	157	207
299	316	242
1902	1506	1226
851	991	805
0	0	0
378	407	380
1163	1275	1024
531	362	372
662	525	465
2	5	3
0	0	0
0	0	0
0	0	0
0	0	0
137	124	92
42	46	44
0	0	0
283	845	679
208	157	111
478	524	518
50	117	91
148	105	96
0	0	0
0	0	0
45	27	14
468	716	564
223	274	212
84	120	127
193	301	218
199	130	242
429	675	543
74	65	59
262	425	467
2	1	6
77	131	148
322	305	358
391	310	260
2380	1867	1502
473	564	474
9	3	4
1075	1359	1236
18	20	29
136	112	116
1	1	0
50	51	39
66	80	54
350	376	337
229	353	242
793	704	625
17	37	9
49	36	31
5	10	8
1	0	1
99	98	62
0	0	0
444	344	518
26	25	22
316	203	164
617	862	735
158	287	283
214	287	253
70	65	51
2572	3113	2581
332	440	438
51	46	42
1327	4837	4541
2408	9463	9163
9	28	45
0	2	1
638	579	531
206	245	201
385	373	340
0	0	0
32	45	48
1046	1282	1126
147	169	118
5	23	24
58	109	119
78	151	107
406	548	411
0	0	0
13	10	7
99	125	91
401	460	302
3	1	23
295	532	418
89	66	39
81	79	67
15	25	18
373	413	324
434	904	695
626	708	434
2	0	2
98	52	103
9	0	22
0	0	0
0	0	0
0	0	2
265	280	240
0	0	0
530	686	632
155	126	109
272	304	249
423	442	356
1171	1455	1145
105	78	227
79	246	209
50	63	68
351	355	262
0	0	0
201	72	327
2165	1976	2115
67	60	25
0	0	0
2	0	1
108	142	112
0	0	0
377	1069	595
7984	5285	4912
197	315	268
357	416	366
3	4	2
437	610	487
4	1	2
448	623	761
0	0	0
191	112	99
44	22	29
67	116	106
0	0	0
0	0	0
0	3	1
0	0	0
0	0	0
0	1	0
8	0	8
51	57	37
7	4	1
0	0	0
1387	2518	2199
0	0	0
0	0	0
92	33	126
0	0	0
339	458	426
0	0	0
576	808	698
82	108	82
0	0	0
492	746	567
951	1149	922
3	0	1
0	0	0
234	218	173
960	905	719
82	67	20
633	513	521
5571	5193	3851
594	877	732
569	700	574
26	25	18
155	290	187
98	96	95
0	0	0
0	0	0
0	0	0
0	0	0
2325	3910	2406
41	74	50
475	480	514
963	1291	1078
378	601	744
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	1
0	0	0
0	0	0
0	0	0
3	0	0
1	1	2
2	0	3
0	0	0
229	262	248
250	196	187
0	0	0
2	5	2
45	67	45
370	315	245
0	0	0
25	25	18
59	121	86
33	40	31
164	150	124
0	0	0
434	900	554
0	2	0
0	1	1
0	0	0
103	117	77
93	71	44
62	98	73
1490	1932	1563
1	1	4
332	652	525
65	142	80
123	110	77
53	66	45
311	243	210
266	428	335
405	531	452
185	227	189
0	0	0
61	48	64
354	310	240
10	9	9
304	409	258
62	26	50
0	0	0
240	322	279
747	936	681
0	0	0
930	1137	991
115	122	104
704	756	590
664	643	562
449	561	535
0	0	0
0	0	0
300	383	436
2	1	10
0	0	4
138	182	170
302	188	174
0	0	0
619	547	481
136	90	252
0	0	0
1807	1793	1577
2	0	5
0	0	0
899	1336	1008
1	0	0
751	692	535
157	144	126
437	388	318
1190	1439	1092
0	0	0
242	280	208
0	2	2
0	0	0
3	0	6
1374	1289	1122
486	507	430
1752	1226	1064
1	5	1
3	7	3
8	3	5
58	46	33
293	364	288
317	370	323
400	417	333
8	0	0
0	0	0
430	781	527
166	261	265
534	508	456
70	68	56
461	449	680
0	1	2
1387	1461	1450
1885	1941	1650
15	20	21
61	48	56
0	0	0
74	82	88
144	144	137
100	120	82
69	70	59
408	247	191
47	49	45
224	257	224
231	326	297
13	7	2
804	716	610
28	17	19
139	129	152
367	394	388
977	768	781
430	521	441
317	346	286
1927	2011	1677
0	0	0
430	516	397
20	47	33
38	37	20
528	577	394
0	0	0
102	85	80
387	488	399
3523	3993	3502
150	173	130
480	456	432
355	359	299
0	0	0
1270	1671	1306
86	65	41
1656	1605	1379
464	379	338
1202	1242	984
119	81	79
471	294	358
1025	741	552
413	420	309
820	1017	1046
341	227	552
374	495	408
8435	10105	8480
3562	4016	3811
6994	6902	6664
0	0	0
173	186	178
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
207	186	186
0	0	0
282	259	223
337	338	240
6	0	9
122	147	126
155	126	109
373	381	315
0	0	0
1	3	4
7191	7207	4877
289	294	242
172	210	161
0	0	0
40	33	38
232	205	202
131	174	152
222	197	157
0	0	0
85	115	69
320	266	172
254	313	247
31	19	46
0	0	0
1064	1242	1122
0	0	0
0	0	0
286	262	224
0	1	0
0	0	0
102	78	53
444	389	321
868	1042	977
779	919	574
211	164	163
22	49	32
1264	2277	1561
85	73	92
20	8	10
333	340	265
928	877	758
0	1	1
734	915	1126
0	0	0
10	6	10
2292	1672	1525
494	608	983
5986	8196	10190
62	75	40
0	0	0
0	0	0
2	1	1
42	34	27
2	8	10
1076	783	771
306	289	233
0	0	0
1079	1286	1210
53	47	56
1	0	0
1846	1294	1429
0	0	0
902	12	1751
508	628	561
281	323	274
186	235	186
1	2	0
1	2	2
36	38	24
4	2	0
231	256	227
0	0	2
0	0	0
435	359	324
502	375	340
0	0	0
105	87	67
69	38	51
0	0	1
7974	7304	6726
121	124	92
301	307	294
192	130	129
989	1170	896
486	440	352
1048	1296	1296
0	0	0
1439	1353	1081
1630	1812	1482
2550	2566	2065
14	8	3
0	0	0
539	544	545
39	35	43
0	0	0
30	40	17
283	320	295
1	0	1
0	1	0
10	7	1
148	274	310
174	132	75
18	10	9
184	100	120
0	1	0
2	0	0
1050	818	710
731	705	672
517	812	713
1	5	9
260	245	258
696	679	573
256	220	198
123	96	98
0	4	1
301	403	286
0	0	0
205	164	154
0	0	0
1	1	2
798	744	380
2	0	1
6	1	11
42	13	112
708	578	545
1332	913	852
249	92	282
310	310	300
468	452	369
219	149	201
0	0	1
166	232	272
0	0	0
922	705	658
1	0	12
110	110	70
250	266	236
0	0	0
69	86	83
0	0	0
562	998	910
621	690	639
209	224	149
17	10	24
106	89	84
0	0	0
0	0	0
0	0	0
0	0	0
170	207	164
3	5	10
0	1	0
876	824	696
9033	6739	6083
210	298	275
24	5	13
431	269	235
1034	745	698
113	137	136
2	0	5
2711	3868	3610
20	20	32
19	16	18
7940	10533	8727
0	0	0
408	409	389
628	588	756
1087	1228	1206
599	784	685
0	0	0
0	0	0
812	583	499
169	354	251
0	0	0
1958	2069	1548
36	19	23
0	0	0
1507	1722	1370
1004	1067	830
2	0	9
4	10	8
0	0	0
2	1	3
925	757	840
0	0	0
0	0	0
150	217	177
37	14	33
216	282	248
34	24	22
431	564	352
470	427	371
368	719	505
0	0	0
0	10	13
14	1	10
145	94	126
35	46	34
9	3	9
95	90	66
277	236	220
0	0	0
533	659	409
407	430	309
365	558	416
366	341	250
263	373	328
2	0	4
1236	1792	1321
1326	1272	1043
301	324	223
105	65	78
271	250	240
421	492	428
408	426	360
2909	2719	2178
2	5	2
4096	5533	3995
142	205	187
0	0	0
0	0	0
161	138	103
184	130	102
681	564	519
251	365	346
580	662	533
19	22	20
1	4	0
514	586	384
3220	4270	3351
147	171	130
165	147	121
3173	3528	2702
96	113	39
718	997	790
209	221	156
196	411	313
331	325	243
1056	1237	977
0	0	0
66	95	100
72	94	184
2	0	0
0	0	0
969	1313	1224
112	143	94
455	969	733
0	0	0
4	3	2
328	353	316
45	33	70
3133	2832	2265
8	61	72
0	0	0
0	0	3
2143	1799	1484
32	16	13
0	0	0
0	0	0
0	0	0
557	557	470
497	384	343
114	151	111
633	713	616
157	181	160
735	752	591
18	47	35
67	64	81
98	67	60
0	8	2
0	0	0
225	222	261
514	454	379
256	324	254
0	0	0
0	0	0
221	220	191
689	785	509
0	0	0
1	0	4
1	0	2
0	0	0
0	0	0
436	436	517
344	399	362
0	0	0
47	63	57
216	122	200
97	106	82
80	62	62
0	0	0
259	199	201
1567	1808	1514
2710	2891	2438
328	240	270
1070	1353	1149
563	589	497
148	228	222
151	123	122
4827	5178	4093
0	0	0
26	49	52
383	434	411
3	2	8
207	270	233
17	36	22
17	26	11
237	171	144
495	445	367
476	837	536
0	0	0
3206	4907	3761
565	835	671
184	176	119
2005	2971	2423
1721	2321	1965
981	1282	938
349	338	255
1286	1339	1441
0	0	0
235	147	155
419	378	331
2413	2886	2562
50	39	34
660	939	785
0	0	0
557	585	451
439	550	402
0	0	0
0	0	0
213	237	269
840	953	781
442	551	398
53	41	50
1354	1079	1015
690	588	515
555	409	420
206	209	172
102	146	107
21	18	15
0	0	0
285	230	266
548	757	663
624	853	738
11	11	10
0	2	0
771	734	595
34	41	22
0	0	0
454	670	560
5	2	1
3	6	4
483	447	442
2	3	0
0	0	0
155	203	128
0	0	0
0	0	0
479	362	356
0	0	0
226	193	201
107	140	127
1101	1278	1147
232	214	208
1517	1839	1708
1387	1412	1378
271	318	309
0	0	0
305	318	300
1178	1770	1410
1089	1145	962
250	169	153
577	692	567
3	12	3
0	0	0
305	249	279
4504	4804	4086
332	363	318
39	40	27
50	51	39
534	620	593
48	63	60
577	584	477
183	165	150
270	197	203
24	31	13
844	989	852
57	31	40
1585	1958	1704
21	29	19
2	0	0
138	223	146
0	0	0
1343	1584	1345
988	743	593
1200	1672	2167
748	1107	856
618	540	412
0	0	0
0	0	0
2069	2099	1914
1059	1114	839
294	333	307
780	770	807
1231	1013	1397
36	59	51
54	132	105
49	79	73
252	397	305
3	1	0
62	60	44
107	91	87
934	892	677
546	502	527
28	26	12
518	418	390
132	124	128
0	0	2
2822	2218	1852
2049	2728	2060
964	1016	888
862	1133	926
231	231	226
177	125	91
366	352	297
28	45	37
387	509	362
1204	1082	1004
1026	1089	1153
824	683	714
0	0	0
109	83	148
0	0	0
234	371	326
594	650	572
3	6	15
0	0	0
1430	2276	2005
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
298	365	324
54	121	96
43	81	41
0	0	0
47	30	12
2	0	0
0	0	0
29	15	17
313	356	346
42	115	67
0	0	0
726	742	548
68	94	71
876	660	541
168	114	117
0	0	0
1115	1171	931
231	233	158
0	0	0
3	2	8
122	107	102
214	178	165
0	0	0
383	323	300
51	15	81
0	0	0
1183	1165	1058
48	21	103
69	51	78
3888	4387	4574
2050	1979	1728
1727	2037	1855
3604	3773	3552
399	461	314
149	100	113
381	332	279
403	296	301
640	795	621
3	0	0
312	169	431
754	529	517
1088	1331	1119
598	698	720
1145	1364	1106
123	144	99
449	503	388
1154	1709	1942
1066	1330	1134
0	0	0
102	105	110
0	0	0
2965	1569	5691
846	1073	923
2174	1197	2416
126	146	127
2	1	0
731	679	537
350	389	314
54	39	39
4135	3866	3113
60	30	132
21	0	48
802	789	522
475	513	442
415	455	371
334	143	680
1582	1355	1238
96	105	58
432	536	536
879	1347	1145
441	578	447
0	0	0
32	21	21
437	358	295
0	0	0
0	0	0
2453	1939	1700
9	3	3
139	165	137
359	266	182
34	25	16
333	350	336
1	6	1
320	423	454
162	208	115
11	14	18
5305	7039	7083
0	0	0
0	0	0
674	701	668
295	219	193
262	249	208
2716	3024	2249
184	434	329
419	486	394
0	0	0
0	0	0
224	226	133
3469	3198	2443
0	0	0
5745	5124	4598
924	642	539
1317	1197	1060
0	0	0
47	27	23
193	250	204
14	6	23
85	61	60
239	197	173
12	6	9
3084	4947	4774
0	7	2
398	429	421
127	107	96
253	281	209
0	0	0
1040	1143	891
41	22	30
6295	4263	4498
621	574	405
262	327	223
0	0	0
0	0	0
362	324	289
3	4	4
1177	1293	1004
555	429	351
592	738	778
751	834	659
0	0	0
8	8	11
108	113	96
0	0	0
0	0	0
0	0	0
362	469	371
358	238	546
868	2711	2325
0	0	0
106	158	121
0	1	6
18	7	18
52	86	45
168	133	124
1	1	7
973	1414	1091
1	1	0
30	6	61
518	556	528
1512	1558	1373
632	465	413
1	0	1
107	96	94
259	222	271
21	16	27
110	131	118
0	0	0
0	0	0
300	330	205
44	46	34
0	5	1
2425	1902	1476
164	161	133
2030	3006	1961
0	0	0
1	0	0
274	337	256
96	43	28
0	0	0
11	3	3
62	19	136
320	188	203
745	651	534
197	149	128
0	0	0
262	191	172
318	307	221
1680	1572	1329
0	0	0
0	0	0
191	488	417
115	53	85
0	2	0
413	494	455
370	441	255
65	112	117
178	155	139
1699	2007	1655
28	32	55
1198	32	4850
286	213	170
222	139	251
131	90	91
457	276	540
452	515	477
2187	1507	1470
2	5	11
285	254	192
0	0	1
12	7	13
2657	3046	2326
84	58	61
9	10	12
0	0	0
239	106	305
501	211	552
152	266	184
239	204	150
999	1195	978
25	24	23
222	238	304
0	0	1
0	0	0
0	0	0
0	0	0
0	0	0
93	80	58
1229	1751	1373
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
66	57	43
0	0	0
0	0	0
242	231	178
0	2	0
289	264	188
467	570	463
3278	2726	2432
0	0	0
0	0	0
295	433	500
335	521	383
0	0	0
293	352	305
0	0	0
33	49	28
233	280	237
0	0	0
745	1964	1195
119	134	80
12306	8712	7891
88	63	107
362	234	217
0	0	0
5022	5514	3464
25	7	26
2	4	0
291	337	237
176	163	92
715	674	554
186	159	182
167	512	257
20	19	17
0	0	0
0	0	0
0	0	0
0	0	0
19	1	41
898	882	760
427	489	336
13	15	16
2037	1992	1763
2	4	8
0	0	0
0	0	2
179	165	150
1101	1293	1126
282	233	758
0	0	4
9	0	3
318	397	328
0	0	0
837	794	828
241	201	175
872	890	711
0	0	1
2073	2340	2180
0	0	0
235	175	213
530	329	281
1336	1197	1079
0	0	1
42	45	59
1	0	0
849	1053	868
765	575	432
0	0	0
242	197	173
1041	983	738
2	2	9
190	495	364
1269	1041	904
1	1	1
163	192	199
424	450	426
8329	8865	6919
0	0	0
0	0	0
1343	1549	1198
0	0	0
0	0	0
212	145	131
158	188	160
1	2	5
62	44	28
527	620	503
641	967	851
1	0	3
514	399	345
73	35	34
105	93	62
62	0	132
310	462	395
0	0	0
1	1	6
0	0	0
54	32	45
0	0	0
1091	853	705
0	0	0
81	94	67
574	615	517
0	0	0
0	0	0
36	23	21
10	4	5
122	135	65
288	9	494
0	0	0
345	482	477
511	866	642
436	502	372
103	181	137
83	143	115
439	520	430
332	310	264
235	206	192
29	22	6
211	210	234
221	188	237
1059	1224	1229
658	497	387
0	0	0
705	699	622
243	298	374
1	0	0
0	0	1
0	0	0
50	31	162
1	0	3
279	140	139
2378	2225	1723
194	181	187
2025	1699	1405
7	12	17
0	0	0
0	0	0
5975	7617	4816
