C61	C62
AT1G03240	0	2
AT1G03250	276	232
AT1G03260	173	100
AT1G03270	60	54
AT1G03280	759	555
AT1G03290	694	557
AT1G03300	41	27
AT1G03310	190	189
AT1G03320	0	0
AT1G03325	0	0
AT1G03330	435	371
AT1G03340	56	45
AT1G03350	1147	1031
AT1G03360	254	148
AT1G03365	366	277
AT1G03370	795	679
AT1G03380	1421	1403
AT1G03390	0	0
AT1G03395	1	0
AT1G03400	39	68
AT1G03410	170	153
AT1G04183	392	265
AT1G03430	262	160
AT1G03440	127	204
AT1G03445	10	12
AT1G03457	380	370
AT1G03470	91	61
AT1G03475	448	436
AT1G03490	0	0
AT1G03495	1	1
AT1G04187	4	0
AT1G04193	0	2
AT1G03502	1	0
AT1G03506	1	0
AT1G04197	2	7
AT1G03510	11	13
AT1G03515	0	0
AT1G03520	210	169
AT1G03530	316	167
AT1G03540	23	22
AT1G03550	362	225
AT1G03545	25	8
AT1G03560	160	138
AT1G03570	0	0
AT1G03590	431	350
AT1G03600	77	394
AT1G03610	278	265
AT1G03620	27	10
AT1G03630	12	253
AT1G03640	0	0
AT1G03650	45	34
AT1G03660	81	79
AT1G04203	0	0
AT1G03670	0	0
AT1G03680	126	292
AT1G03687	181	143
AT1G03700	104	124
AT1G03710	0	1
AT1G03720	0	0
AT1G04207	0	0
AT1G03730	105	136
AT1G03740	961	939
AT1G04213	0	0
AT1G03743	1	0
AT1G03746	0	0
AT1G03750	229	145
AT1G03760	184	118
AT1G03770	207	137
AT1G03780	302	136
AT1G03790	10	24
AT1G03800	11	4
AT1G03810	0	0
AT1G03820	96	122
AT1G03830	232	149
AT1G03840	245	128
AT1G03850	630	794
AT1G03860	1549	1039
AT1G03870	5537	4942
AT1G03880	0	0
AT1G03890	0	0
AT1G03900	1900	1457
AT1G03905	182	123
AT1G03910	1052	720
AT1G03920	275	183
AT1G03930	460	267
AT1G04217	21	15
AT1G03935	10	5
AT1G04223	13	9
AT1G03940	0	2
AT1G04227	0	1
AT1G03950	259	254
AT1G03960	135	93
AT1G03970	343	300
AT1G04233	0	1
AT1G03980	18	8
AT1G03982	0	0
AT1G03990	8	7
AT1G04000	193	226
AT1G04010	240	181
AT1G04020	208	132
AT1G04030	289	168
AT1G04040	5012	3800
AT1G04237	13	13
AT1G04050	128	79
AT1G04070	136	103
AT1G04080	1693	1019
AT1G04090	11	13
AT1G04100	143	109
AT1G04105	0	0
AT1G04110	0	2
AT1G04120	4555	3424
AT1G04243	0	0
AT1G04130	214	140
AT1G04140	2234	1844
AT1G04150	31	12
AT1G04160	409	328
AT1G04170	1954	1411
AT1G04180	220	155
AT1G04190	715	441
AT1G04200	622	433
AT1G04210	1073	816
AT1G04220	2536	2718
AT1G04247	49	45
AT1G04230	211	133
AT1G04240	269	333
AT1G04253	0	0
AT1G04250	2629	2317
AT1G04260	273	256
AT1G04270	7377	5056
AT1G04280	900	864
AT1G04290	192	168
AT1G04295	19	9
AT1G04300	1564	1104
AT1G04310	193	120
AT1G04320	0	0
AT1G04330	53	39
AT1G04340	494	394
AT1G04350	288	334
AT1G04360	298	333
AT1G04370	0	0
AT1G04380	2	7
AT1G04257	0	0
AT1G04390	188	173
AT1G04400	1826	1939
AT1G04410	18038	16003
AT1G04420	83	179
AT1G04425	35	12
AT1G04430	2031	1437
AT1G04440	1918	1582
AT1G04445	9	3
AT1G04450	0	0
AT1G04455	0	0
AT1G04470	0	1
AT1G04263	5	2
AT1G04480	2497	1679
AT1G04267	1	0
AT1G04273	1	1
AT1G04277	6	1
AT1G04490	46	16
AT1G04500	0	0
AT1G04510	960	700
AT1G04520	456	280
AT1G04530	578	601
AT1G04540	0	6
AT1G04550	258	230
AT1G04555	116	82
AT1G04560	0	0
AT1G04570	27	25
AT1G04580	2	0
AT1G04590	291	194
AT1G04600	25	22
AT1G04610	159	92
AT1G04620	14	35
AT1G04625	0	0
AT1G04630	495	379
AT1G04635	22	23
AT1G04640	60	84
AT1G04645	0	0
AT1G04650	52	41
AT1G04283	0	0
AT1G04660	4	5
AT1G04670	0	0
AT1G04680	1158	822
AT1G04690	1491	1050
AT1G04700	245	222
AT1G04710	138	128
AT1G04720	0	0
AT1G04730	124	60
AT1G04750	1680	1277
AT1G04287	0	0
AT1G04760	40	33
AT1G04770	437	420
AT1G04778	40	38
AT1G04780	1232	1056
AT1G04790	338	302
AT1G04800	0	26
AT1G04810	1649	1311
AT1G04820	8291	6375
AT1G04830	394	276
AT1G04840	25	13
AT1G04850	2310	1665
AT1G04860	705	561
AT1G04870	827	468
AT1G04880	8	10
AT1G04890	0	0
AT1G04293	0	0
AT1G04895	0	0
AT1G04900	285	182
AT1G04297	0	0
AT1G04910	811	525
AT1G04303	0	0
AT1G04920	3	4
AT1G04930	82	77
AT1G04945	143	82
AT1G04940	6	7
AT1G04950	421	276
AT1G04960	579	515
AT1G04970	843	898
AT1G04980	964	711
AT1G04985	392	247
AT1G04990	371	298
AT1G05000	873	836
AT1G05005	2	2
AT1G04307	0	0
AT1G05010	816	1093
AT1G05020	61	69
AT1G05030	150	102
AT1G04313	0	1
AT1G05035	0	0
AT1G04323	0	0
AT1G05040	0	0
AT1G05055	168	158
AT1G05060	131	139
AT1G05065	4	9
AT1G05070	260	173
AT1G05080	0	0
AT1G05085	0	0
AT1G04327	0	0
AT1G04333	0	0
AT1G05087	28	22
AT1G05090	14	12
AT1G05100	29	27
AT1G05120	569	413
AT1G05136	0	0
AT1G05140	188	264
AT1G05150	1050	887
AT1G05160	133	75
AT1G05170	310	227
AT1G04337	0	0
AT1G05180	714	485
AT1G05190	212	525
AT1G05200	65	67
AT1G04343	0	0
AT1G05205	466	395
AT1G04347	4	3
AT1G05210	249	169
AT1G05220	48	52
AT1G04353	31	20
AT1G05230	4	21
AT1G05240	35	15
AT1G04357	1	2
AT1G04363	7	10
AT1G04367	0	0
AT1G05250	10	15
AT1G05260	4881	4538
AT1G05270	699	581
AT1G05280	87	65
AT1G04373	0	0
AT1G05290	0	0
AT1G05291	0	0
AT1G04377	0	0
AT1G04383	0	0
AT1G04387	0	0
AT1G05300	469	383
AT1G05310	56	86
AT1G05320	990	924
AT1G05330	1	1
AT1G05340	362	452
AT1G05350	524	341
AT1G05360	300	195
AT1G05370	27	5
