C61	C62
AT1G80510	235	214
AT1G09977	0	0
AT1G80520	76	80
AT1G80525	0	0
AT1G80530	408	356
AT1G80540	2	0
AT1G80550	250	208
AT1G80555	4	4
AT1G80560	561	342
AT1G80570	134	98
AT1G80580	0	0
AT1G80590	0	0
AT1G09983	0	0
AT1G80600	907	681
AT1G80610	231	187
AT1G80620	669	423
AT1G80625	0	0
AT1G80630	128	117
AT1G80640	212	143
AT1G80650	58	50
AT1G80660	6	1
AT1G80670	574	340
AT1G80680	981	764
AT1G80690	413	260
AT1G80700	98	72
AT1G80710	54	36
AT1G80720	117	73
AT1G80730	32	17
AT1G80740	2	4
AT1G80745	3	2
AT1G80750	909	466
AT1G80760	77	100
AT1G80770	184	168
AT1G80780	1487	1202
AT1G80790	882	529
AT1G80810	260	163
AT1G80820	269	290
AT1G80830	1689	1482
AT1G80840	18	34
AT1G80850	87	97
AT1G09987	1	0
AT1G80860	282	222
AT1G80865	0	0
AT1G80870	358	252
AT1G80880	46	28
AT1G80890	141	93
AT1G09993	5	3
AT1G80900	145	76
AT1G80910	583	396
AT1G80920	2247	1942
AT1G80930	2146	1549
AT1G80940	436	335
AT1G80950	657	504
AT1G80960	36	36
AT1G09997	0	0
AT1G80970	34	25
AT1G80980	109	41
AT1G80990	0	0
AT5G00730	0	0
AT5G01010	1645	1354
AT5G01015	3	9
AT5G01017	0	0
AT5G01020	1264	1019
AT5G01030	190	232
AT5G01040	980	1018
AT5G01050	204	230
AT5G01060	56	80
AT5G01070	4	10
AT5G01075	7	19
AT5G01080	0	0
AT5G01090	454	417
AT5G01100	149	134
AT5G00735	0	0
AT5G00740	0	0
AT5G01110	38	21
AT5G01120	1	0
AT5G01130	0	0
AT5G01140	0	0
AT5G01150	0	0
AT5G01160	496	358
AT5G01170	161	121
AT5G01175	57	34
AT5G01180	2	3
AT5G01190	129	123
AT5G01200	78	53
AT5G01215	63	44
AT5G01210	1777	1494
AT5G01220	526	450
AT5G01225	1	9
AT5G01230	167	103
AT5G00745	0	0
AT5G01240	212	272
AT5G01250	709	757
AT5G01260	144	117
AT5G01270	626	421
AT5G01280	88	81
AT5G01290	360	277
AT5G01300	2	6
AT5G01305	0	0
AT5G01310	217	133
AT5G01320	15	12
AT5G01330	255	164
AT5G00750	0	1
AT5G00755	0	0
AT5G01340	521	496
AT5G01350	1308	1009
AT5G00760	12	5
AT5G00765	11	1
AT5G01360	277	260
AT5G01365	0	0
AT5G01370	91	49
AT5G01380	27	18
AT5G01390	210	151
AT5G01400	747	524
AT5G01410	921	1226
AT5G01420	14	18
AT5G01430	357	263
AT5G01440	0	0
AT5G01445	11	5
AT5G01450	360	300
AT5G01460	1104	865
AT5G01470	102	99
AT5G01480	11	14
AT5G00770	0	0
AT5G00775	0	0
AT5G01490	156	150
AT5G01500	359	302
AT5G01510	55	47
AT5G01520	465	419
AT5G01530	461	2466
AT5G01540	53	53
AT5G01542	10	21
AT5G01550	196	202
AT5G01560	68	90
AT5G01570	16	2
AT5G00780	8	8
AT5G01580	10	10
AT5G01590	492	409
AT5G01595	22	5
AT5G01600	2178	2088
AT5G01610	404	416
AT5G01620	548	382
AT5G01630	130	60
AT5G01640	43	65
AT5G01650	332	308
AT5G01660	35	22
AT5G01670	85	58
AT5G01680	1	0
AT5G01690	0	0
AT5G01700	113	111
AT5G01710	1913	1533
AT5G01720	1496	1042
AT5G00785	0	0
AT5G01730	460	407
AT5G01732	1	1
AT5G01740	299	217
AT5G01747	2	0
AT5G00790	0	0
AT5G01750	650	682
AT5G01760	1	4
AT5G01770	183	144
AT5G01780	143	69
AT5G01790	32	43
AT5G01800	2850	2768
AT5G01810	1090	970
AT5G01820	1221	1449
AT5G00795	0	0
AT5G00800	0	0
AT5G01830	838	857
AT5G01840	249	249
AT5G00805	0	0
AT5G01850	172	146
AT5G01860	3	1
AT5G01870	1019	590
AT5G01880	40	38
AT5G01881	0	1
AT5G01890	1062	829
AT5G01895	1	0
AT5G00810	0	1
AT5G01900	0	0
AT5G01910	82	46
AT5G01920	240	330
AT5G01930	63	115
AT5G01940	91	39
AT5G01950	567	400
AT5G01960	706	574
AT5G01970	407	241
AT5G01980	442	385
AT5G01990	464	429
AT5G02000	15	14
AT5G02010	157	129
AT5G02020	68	66
AT5G02025	0	0
AT5G02030	5	19
AT5G02035	0	0
AT5G02040	448	356
AT5G02050	839	514
AT5G02060	49	46
AT5G02065	92	57
AT5G02070	30	15
AT5G02080	24	12
AT5G02090	523	540
AT5G02100	1043	827
AT5G02110	0	0
AT5G02120	70	257
AT5G02130	193	128
AT5G02140	37	38
AT5G00815	0	0
AT5G02150	164	125
AT5G00820	0	1
AT5G02160	32	163
AT5G02170	90	52
AT5G02180	54	26
AT5G02190	22	9
AT5G02200	74	23
AT5G02210	3	3
AT5G00825	0	0
AT5G02220	9	9
AT5G02230	1216	1143
AT5G02240	496	418
AT5G02250	271	258
AT5G02260	1018	636
AT5G02270	3347	2726
AT5G02280	281	212
AT5G02290	327	268
AT5G02310	1694	1550
AT5G02320	133	99
AT5G02330	46	26
AT5G02340	0	0
AT5G02350	184	143
AT5G00835	0	0
AT5G02360	166	128
AT5G02370	193	107
AT5G02380	6952	5836
AT5G02385	0	0
AT5G02390	52	37
AT5G00840	0	0
AT5G02400	332	350
AT5G02410	263	202
AT5G02420	254	264
AT5G00845	1	0
AT5G02430	153	107
AT5G02435	0	0
AT5G02440	69	49
AT5G02450	4252	2755
AT5G00850	0	0
AT5G02460	60	59
AT5G02470	192	107
AT5G00855	0	0
AT5G02480	2216	2035
AT5G02490	654	349
AT5G02500	44931	32891
AT5G02502	270	233
AT5G02505	0	0
AT5G02510	3	0
AT5G02520	44	32
AT5G00860	0	0
AT5G02530	884	631
AT5G00865	1	0
AT5G02540	52	26
AT5G02550	211	205
AT5G02560	319	322
AT5G02570	8	4
AT5G02580	90	73
AT5G02590	97	73
AT5G00870	1	0
AT5G02600	117	83
AT5G02610	1503	953
AT5G02615	0	0
AT5G02620	433	380
AT5G02630	61	63
AT5G02640	94	77
AT5G02650	57	29
AT5G02660	0	1
AT5G02670	106	55
AT5G02680	110	52
AT5G02690	26	9
AT5G02700	0	0
AT5G02710	38	47
AT5G02720	0	0
AT5G02725	0	0
AT5G02730	0	1
AT5G02740	467	374
AT5G02750	48	43
AT5G00875	4	1
AT5G02760	9	25
AT5G02770	1737	1130
AT5G02780	149	122
AT5G02790	483	422
AT5G02800	391	380
AT5G02810	753	563
AT5G02815	0	0
AT5G02820	415	222
AT5G02830	208	208
AT5G00880	0	0
AT5G02840	1285	1101
AT5G02850	249	207
AT5G02860	77	37
AT5G02870	7005	4649
AT5G00885	0	0
AT5G02880	1902	1546
AT5G02890	241	216
AT5G02900	0	0
AT5G02910	125	115
AT5G02920	0	0
AT5G02930	1	0
AT5G02940	42	51
AT5G02950	17	14
AT5G02960	8038	5583
AT5G02970	384	230
AT5G02980	0	0
AT5G02990	0	0
AT5G02995	0	0
AT5G03000	0	0
AT5G03010	9	0
AT5G03020	13	15
AT5G00895	0	1
AT5G03030	245	189
AT5G00900	0	0
AT5G03040	2010	2036
AT5G03050	57	43
AT5G03060	0	2
AT5G03070	193	123
AT5G03080	708	635
AT5G03090	0	1
AT5G03100	111	55
AT5G03110	66	88
AT5G03120	0	56
AT5G03130	0	0
AT5G03140	379	401
AT5G03150	595	560
AT5G03160	870	664
AT5G03170	517	532
AT5G03180	82	69
AT5G03190	338	222
AT5G00905	1	4
AT5G03200	389	300
AT5G03204	0	0
AT5G03210	9	15
AT5G03220	165	93
AT5G03230	165	223
AT5G03240	18263	19011
AT5G03250	51	40
AT5G03260	607	948
AT5G03270	14	5
AT5G03280	3426	3021
AT5G03285	88	64
AT5G03290	2435	2093
AT5G03300	3115	2434
AT5G03310	13	5
AT5G00910	0	0
AT5G03320	621	517
AT5G03330	402	354
AT5G03340	1114	1097
AT5G03345	599	478
AT5G03350	0	3
AT5G03355	119	136
AT5G03360	1	0
AT5G03370	183	183
AT5G03380	4311	4202
AT5G03390	15	18
AT5G03400	0	0
AT5G03406	78	47
AT5G03415	268	177
AT5G03420	331	216
AT5G00920	0	0
AT5G03430	478	395
AT5G00925	0	0
AT5G03435	2	3
AT5G03440	90	84
AT5G03445	0	0
AT5G03450	154	127
AT5G03452	0	0
AT5G03455	525	498
AT5G03460	1132	1049
AT5G03470	240	207
AT5G03480	0	4
AT5G03490	109	124
AT5G03495	15	6
AT5G03500	375	313
AT5G03510	204	186
AT5G03520	1365	1233
AT5G03530	401	291
AT5G03540	1696	1221
AT5G03545	452	525
AT5G03550	21	16
AT5G03553	1	0
AT5G03552	110	83
AT5G03555	1185	1293
AT5G03560	256	243
AT5G03570	158	136
AT5G03580	0	0
AT5G03590	0	0
AT5G00930	0	0
AT5G03600	1	0
AT5G03610	910	676
AT5G03620	0	0
AT5G03630	5802	5227
AT5G03640	230	286
AT5G03650	615	562
AT5G03660	989	838
AT5G03668	1	4
AT5G03670	335	244
AT5G03680	25	22
AT5G03690	106	83
AT5G03700	429	336
AT5G00935	0	0
AT5G03705	0	0
AT5G03710	0	1
AT5G03720	11	14
AT5G03730	1196	892
AT5G03740	1206	750
AT5G03745	0	0
AT5G03750	0	0
AT5G03760	1131	921
AT5G03770	104	40
AT5G03775	0	0
AT5G03780	58	34
AT5G03790	0	1
AT5G03795	25	28
AT5G03800	40	34
AT5G03810	0	0
AT5G03820	0	0
AT5G03830	122	61
AT5G03840	14	11
AT5G03850	2490	1856
AT5G00940	0	0
AT5G03860	184	111
AT5G03870	175	98
AT5G03880	288	399
AT5G03885	1	3
AT5G03890	20	11
AT5G03900	335	272
AT5G03905	208	175
AT5G03910	221	161
AT5G03920	0	0
AT5G03930	0	0
AT5G03940	382	301
AT5G03944	0	0
AT5G03960	197	114
AT5G03970	121	85
AT5G03980	0	0
AT5G03990	93	98
AT5G03995	144	88
AT5G04000	31	39
AT5G04010	0	2
AT5G04020	518	469
AT5G04030	0	0
AT5G04040	730	759
AT5G04045	0	0
AT5G04047	0	0
AT5G04050	98	54
AT5G04060	440	328
AT5G04070	127	74
AT5G04080	313	216
AT5G04090	430	253
AT5G04110	250	193
AT5G04120	142	65
AT5G04130	343	227
AT5G04140	88	2094
AT5G04150	33	38
AT5G04160	307	232
AT5G04170	1241	1240
AT5G04180	1	0
AT5G04190	0	7
AT5G04200	568	717
AT5G04210	0	0
AT5G04220	185	135
AT5G04230	2	15
AT5G04240	866	607
AT5G04238	0	0
AT5G04250	79	86
AT5G04260	206	146
AT5G04267	0	0
AT5G04270	120	74
AT5G04275	1	1
AT5G04280	682	510
AT5G04290	886	590
AT5G04310	66	52
AT5G04320	401	245
AT5G04330	185	168
AT5G04340	273	409
AT5G04347	0	0
AT5G04350	0	0
AT5G04360	59	33
AT5G00950	0	0
AT5G00955	0	0
AT5G00960	0	0
AT5G04370	12	4
AT5G04380	0	0
AT5G04390	10	23
AT5G04395	0	0
AT5G04400	0	0
AT5G04410	1168	1030
AT5G00965	2	0
AT5G04420	749	486
AT5G04430	2538	1828
AT5G04440	386	384
AT5G04460	635	504
AT5G04470	1107	1104
AT5G04475	16	16
AT5G04480	481	359
AT5G04490	57	43
AT5G04500	1	0
AT5G04510	620	336
AT5G04520	172	135
AT5G04530	0	40
AT5G00970	0	0
AT5G04540	639	516
AT5G04550	976	855
AT5G04560	1614	1100
AT5G04590	6152	4961
AT5G04600	1385	764
AT5G04610	13	11
AT5G04620	234	146
AT5G04630	1	0
AT5G04640	0	0
AT5G04670	448	381
AT5G04660	9	25
AT5G00975	0	0
AT5G00980	0	0
AT5G00985	1	0
AT5G04680	58	39
AT5G04690	19	3
AT5G04700	22	36
AT5G04710	389	232
AT5G04720	1136	1078
AT5G04730	39	45
AT5G04740	2350	2143
AT5G04750	1381	1165
AT5G04760	135	233
AT5G00990	5	1
AT5G00995	0	0
AT5G04770	247	195
AT5G04780	47	37
AT5G04800	2241	1361
AT5G04790	11	9
AT5G04810	596	447
AT5G04820	180	139
AT5G04830	1359	1209
AT5G04840	181	126
AT5G04850	476	440
AT5G04853	0	0
AT5G04860	1289	1225
AT5G04870	1247	1006
AT5G04885	183	110
AT5G04890	198	183
AT5G04895	164	111
AT5G04900	46	55
AT5G04910	309	191
AT5G04920	767	549
AT5G04930	1481	1223
AT5G04933	0	0
AT5G04937	0	0
AT5G04940	299	238
AT5G04950	2730	3235
AT5G04960	3003	3458
AT5G04970	455	293
AT5G04980	188	138
AT5G04990	895	829
AT5G05000	510	418
AT5G05010	3496	2601
AT5G05020	0	0
AT5G05030	0	0
AT5G05040	0	0
AT5G05050	0	0
AT5G05060	143	114
AT5G05070	0	0
AT5G05080	1911	1443
AT5G05085	8	9
AT5G05090	86	82
AT5G05100	1142	954
AT5G05110	452	478
AT5G05113	0	0
AT5G05120	0	0
AT5G05130	114	83
AT5G05140	1133	986
AT5G05150	0	2
AT5G05160	725	580
AT5G05170	11898	11313
AT5G05180	139	88
AT5G05190	179	157
AT5G01005	0	0
AT5G05200	419	392
AT5G05210	916	618
AT5G05220	0	0
AT5G05230	373	352
AT5G05240	102	52
AT5G05250	208	209
AT5G05260	2	0
AT5G01045	27	8
AT5G05270	1925	1596
AT5G05280	6	10
AT5G05285	0	0
AT5G05290	1	3
AT5G05300	5	0
AT5G05310	213	122
AT5G05320	47	40
AT5G05330	19	9
AT5G05340	1	0
AT5G05350	13	18
AT5G05360	336	274
AT5G05365	1	7
AT5G05370	702	560
AT5G05380	140	128
AT5G05390	67	93
AT5G05400	241	301
AT5G05410	89	112
AT5G05420	1	1
AT5G05430	0	2
AT5G05435	43	35
AT5G05440	692	813
AT5G05450	472	341
AT5G05460	661	485
AT5G01055	0	2
AT5G05470	289	212
AT5G05480	418	360
AT5G05490	4	3
AT5G05500	1437	1563
AT5G05510	89	47
AT5G05520	686	511
AT5G05530	5	0
AT5G05540	418	201
AT5G05550	124	74
AT5G05560	229	143
AT5G05570	711	632
AT5G05580	57	143
AT5G05590	59	64
AT5G05598	0	0
AT5G05600	167	240
AT5G05610	597	375
AT5G05620	313	179
AT5G05630	16	28
AT5G05635	0	0
AT5G05640	214	140
AT5G05650	0	0
AT5G01065	0	0
AT5G05653	0	0
AT5G05657	0	0
AT5G05660	659	413
AT5G05670	437	313
AT5G05675	0	1
AT5G05680	332	216
AT5G05690	485	358
AT5G05700	654	583
AT5G05710	150	132
AT5G05720	0	0
AT5G05730	384	276
AT5G05735	0	0
AT5G05740	45	64
AT5G05750	575	484
AT5G01095	1	3
AT5G05760	225	196
AT5G01105	0	0
AT5G05770	2	5
AT5G05780	2239	1567
AT5G05790	598	465
AT5G05795	0	0
AT5G05800	397	274
AT5G01115	0	0
AT5G05810	36	33
AT5G05820	395	307
AT5G05830	114	97
AT5G05840	109	150
AT5G05850	146	165
AT5G05860	296	285
AT5G05870	176	175
AT5G05880	228	233
AT5G05890	360	283
AT5G05900	83	46
AT5G05910	0	0
AT5G05920	150	107
AT5G05930	285	201
AT5G05940	66	47
AT5G05945	0	0
AT5G05950	339	322
AT5G05960	2549	2028
AT5G05965	2	3
AT5G05970	258	197
AT5G05980	971	704
AT5G01125	0	2
AT5G05985	0	0
AT5G05987	192	169
AT5G05990	154	99
AT5G06000	68	58
AT5G01135	0	0
AT5G01145	3	0
AT5G06010	0	0
AT5G06020	0	0
AT5G06030	0	0
AT5G06040	0	0
AT5G06043	0	0
AT5G06050	479	297
AT5G06060	248	221
AT5G06070	1	0
AT5G06080	15	10
AT5G06090	117	171
AT5G06100	236	166
AT5G06110	1599	1098
AT5G06120	874	643
AT5G06125	0	0
AT5G06130	425	332
AT5G06140	1142	829
AT5G06150	303	200
AT5G06160	481	328
AT5G06165	3	1
AT5G01155	0	0
AT5G01165	0	0
AT5G01195	0	0
AT5G06170	0	0
AT5G06180	129	54
AT5G06190	52	27
AT5G01205	1	0
AT5G06200	582	596
AT5G06210	160	99
AT5G06220	592	687
AT5G06230	86	85
AT5G06240	115	87
AT5G01235	0	0
AT5G01245	0	0
AT5G06250	27	20
AT5G06260	706	612
AT5G06265	257	183
AT5G06270	130	119
AT5G06280	371	339
AT5G06290	286	393
AT5G06300	571	552
AT5G06310	74	49
AT5G06320	411	632
AT5G01255	5	2
AT5G06330	198	257
AT5G06340	251	241
AT5G06350	259	191
AT5G06360	1802	1186
AT5G06370	477	374
AT5G06380	1	1
AT5G06390	1732	1357
AT5G06400	25	23
AT5G06410	144	110
AT5G01265	0	0
AT5G06420	55	39
AT5G06430	59	53
AT5G06440	425	333
AT5G06450	239	248
AT5G06460	1023	678
AT5G06470	24	17
AT5G06480	9	21
AT5G06490	12	6
AT5G06500	0	2
AT5G06510	57	61
AT5G06520	0	0
AT5G06530	259	344
AT5G06540	27	11
AT5G06550	282	160
AT5G06560	636	561
AT5G06570	135	136
AT5G06580	206	179
AT5G06590	80	44
AT5G06600	2546	1937
AT5G06610	259	215
AT5G06620	38	22
AT5G06630	3421	4441
AT5G06640	6591	9756
AT5G06645	24	50
AT5G06650	3	6
AT5G06660	532	462
AT5G06670	202	121
AT5G06680	337	261
AT5G06685	0	0
AT5G06690	5	0
AT5G06700	1231	1056
AT5G06710	75	69
AT5G06720	46	28
AT5G06730	130	86
AT5G06740	115	111
AT5G06750	571	412
AT5G06755	0	0
AT5G06760	18	31
AT5G06770	142	104
AT5G06780	359	250
AT5G06790	8	12
AT5G06800	474	339
AT5G06810	78	49
AT5G06811	78	58
AT5G06820	17	7
AT5G06830	472	312
AT5G06839	756	671
AT5G06850	411	342
AT5G06865	5	9
AT5G06860	1437	1186
AT5G06870	2	14
AT5G06890	0	0
AT5G06900	2	0
AT5G06905	0	0
AT5G06910	248	195
AT5G06920	0	1
AT5G06930	738	571
AT5G06940	106	65
AT5G06950	303	218
AT5G06960	434	331
AT5G06970	1590	1117
AT5G06980	407	442
AT5G06990	218	233
AT5G07000	139	162
AT5G07010	226	183
AT5G01275	0	0
AT5G07020	112	263
AT5G07030	2371	2144
AT5G07040	35	30
AT5G07050	0	0
AT5G07060	2	1
AT5G07070	99	92
AT5G01285	0	0
AT5G07080	312	379
AT5G07090	6534	4215
AT5G07100	228	195
AT5G07110	498	385
AT5G01295	1	1
AT5G07120	623	489
AT5G01315	4	2
AT5G07130	550	715
AT5G07135	0	0
AT5G07140	152	57
AT5G07152	28	22
AT5G07150	81	71
AT5G01325	0	0
AT5G07160	0	0
AT5G07165	0	0
AT5G07170	0	0
AT5G07175	1	0
AT5G01345	0	0
AT5G07180	2	12
AT5G07190	44	58
AT5G07200	7	5
AT5G07210	0	0
AT5G07220	2652	2627
AT5G07225	0	0
AT5G07230	0	0
AT5G07240	39	112
AT5G01375	0	1
AT5G07250	486	455
AT5G07260	0	0
AT5G07270	682	544
AT5G07280	48	37
AT5G01385	0	0
AT5G07290	619	477
AT5G07300	906	741
AT5G07310	0	0
AT5G07315	0	0
AT5G07320	201	149
AT5G07322	863	762
AT5G07330	17	11
AT5G07340	610	461
AT5G07350	5042	3543
AT5G07360	788	645
AT5G07370	585	494
AT5G07380	18	8
AT5G07390	128	113
AT5G07400	135	63
AT5G07410	0	0
AT5G07420	0	0
AT5G01395	0	0
AT5G07430	0	0
AT5G07440	3103	2573
AT5G07450	37	51
AT5G07460	798	623
AT5G07470	1306	1069
AT5G07475	695	959
AT5G01405	0	0
AT5G07480	0	0
AT5G07490	0	0
AT5G01415	0	0
AT5G07500	0	0
AT5G07510	0	2
AT5G07520	0	0
AT5G07530	3	4
AT5G07540	0	0
AT5G07545	0	0
AT5G07550	0	0
AT5G07560	42	28
AT5G07570	229	241
AT5G07571	22	16
AT5G07572	23	24
AT5G07580	285	459
AT5G07590	190	118
AT5G07600	0	0
AT5G07610	11	8
AT5G07620	23	30
AT5G07630	206	136
AT5G07625	0	0
AT5G07640	7	4
AT5G07650	143	162
AT5G07660	44	17
AT5G07670	116	109
AT5G07675	0	0
AT5G07680	798	780
AT5G01425	0	0
AT5G07690	0	13
AT5G07700	0	0
AT5G07710	117	110
AT5G07720	83	65
AT5G07730	85	85
AT5G07740	1665	1216
AT5G07760	0	1
AT5G07770	383	352
AT5G07780	77	57
AT5G07790	72	67
AT5G07800	64	57
AT5G07810	152	94
AT5G07820	576	488
AT5G07830	541	439
AT5G07840	215	168
AT5G07850	0	0
AT5G07860	77	85
AT5G07870	319	310
AT5G07880	17	4
AT5G07890	332	233
AT5G07900	54	32
AT5G01435	0	0
AT5G07910	251	267
AT5G07920	738	602
AT5G07930	0	0
AT5G07940	885	759
AT5G07950	118	79
AT5G07960	722	528
AT5G07970	590	487
AT5G07980	488	347
AT5G01455	0	0
AT5G01465	0	0
AT5G07990	580	567
AT5G08000	2	5
AT5G08005	0	0
AT5G08010	227	175
AT5G08020	184	125
AT5G08030	0	1
AT5G08040	727	498
AT5G08050	196	334
AT5G08055	0	0
AT5G08060	2251	1851
AT5G08070	1	2
AT5G08075	0	0
AT5G08080	1124	847
AT5G08090	0	0
AT5G08100	461	341
AT5G08110	185	159
AT5G08120	273	215
AT5G08130	1362	995
AT5G01475	0	0
AT5G08139	214	231
AT5G08141	0	0
AT5G01485	0	0
AT5G08150	0	16
AT5G08160	1363	1074
AT5G08170	519	371
AT5G08180	1277	856
AT5G01495	1	1
AT5G01505	2	1
AT5G01515	3	8
AT5G08185	26	20
AT5G08190	293	211
AT5G08200	337	317
AT5G08230	375	219
AT5G08210	0	0
AT5G01535	0	0
AT5G08240	744	887
AT5G08250	363	343
AT5G08260	419	367
AT5G08270	92	54
AT5G08280	536	499
AT5G01545	1	2
AT5G08290	1883	1597
AT5G08300	2303	1936
AT5G08305	16	10
AT5G08310	58	44
AT5G08315	0	0
AT5G08320	102	74
AT5G08330	237	195
AT5G08335	122	107
AT5G08340	60	60
AT5G08350	159	141
AT5G08360	32	11
AT5G08370	212	145
AT5G08380	173	194
AT5G08391	3	8
AT5G08390	469	392
AT5G08400	17	15
AT5G08410	103	106
AT5G08415	469	368
AT5G08420	1094	647
AT5G08430	383	301
AT5G08440	328	220
AT5G08450	1866	1200
AT5G08460	0	0
AT5G08470	419	293
AT5G08480	55	68
AT5G08490	38	22
AT5G08500	454	291
AT5G08505	0	0
AT5G08510	81	77
AT5G08520	307	251
AT5G08530	4080	3508
AT5G08535	156	102
AT5G08540	334	254
AT5G08550	325	268
AT5G01555	0	0
AT5G08560	1707	1471
AT5G08565	52	38
AT5G08570	1633	1303
AT5G08580	438	244
AT5G08590	1013	698
AT5G08600	98	51
AT5G08610	371	224
AT5G08620	561	309
AT5G08630	452	332
AT5G08640	3821	3263
AT5G08650	237	353
AT5G08660	392	293
AT5G08670	11335	9864
AT5G08680	5766	4773
AT5G08690	9050	7206
AT5G08695	0	0
AT5G08710	226	144
AT5G08712	0	0
AT5G01575	0	0
AT5G01565	0	0
AT5G08717	0	0
AT5G01585	0	0
AT5G08720	184	221
AT5G08730	1	1
AT5G08740	209	167
AT5G08750	242	160
AT5G08760	1	11
AT5G08770	129	120
AT5G08780	133	95
AT5G08790	275	280
AT5G01605	0	0
AT5G09210	4	4
AT5G09220	7039	5498
AT5G09225	302	201
AT5G09230	272	200
AT5G01615	0	0
AT5G09240	56	29
AT5G09250	162	116
AT5G09260	152	132
AT5G09270	134	91
AT5G09280	0	0
AT5G09290	122	81
AT5G09300	222	166
AT5G09310	297	202
AT5G09315	16	11
AT5G09320	0	4
AT5G09330	1243	1120
AT5G09340	0	0
AT5G09345	0	0
AT5G09350	209	164
AT5G09360	0	0
AT5G09370	0	0
AT5G09380	96	59
AT5G09390	388	312
AT5G09400	922	762
AT5G09410	742	531
AT5G09420	261	131
AT5G09430	32	21
AT5G09440	1549	1436
AT5G09443	80	46
AT5G09445	9	19
AT5G09450	340	261
AT5G09460	611	562
AT5G09470	1	1
AT5G09480	1283	1679
AT5G09490	0	0
AT5G09500	9	7
AT5G09510	1948	1316
AT5G09520	727	937
AT5G09530	9069	11268
AT5G09540	66	52
AT5G09550	0	0
AT5G09560	0	0
AT5G09570	2	3
AT5G09580	50	21
AT5G09585	15	8
AT5G09590	2331	1701
AT5G09600	381	310
AT5G09610	0	0
AT5G09620	1165	1071
AT5G09630	45	46
AT5G09640	0	0
AT5G09650	1716	1366
AT5G09655	0	0
AT5G09660	23	1550
AT5G09670	598	506
AT5G09680	332	268
AT5G09690	115	103
AT5G09700	0	4
AT5G09711	0	0
AT5G09720	23	12
AT5G09730	1	2
AT5G09740	268	208
AT5G09750	9	4
AT5G09755	0	0
AT5G09760	867	601
AT5G09770	478	305
AT5G09780	2	0
AT5G09790	86	47
AT5G09800	91	80
AT5G09805	0	2
AT5G09810	9817	7923
AT5G09820	100	54
AT5G09830	380	239
AT5G09840	162	82
AT5G09850	1257	906
AT5G09860	341	303
AT5G09870	1365	1450
AT5G09876	0	0
AT5G09880	1006	528
AT5G09890	1816	1261
AT5G09900	2696	1830
AT5G09910	5	1
AT5G01635	0	0
AT5G09920	521	448
AT5G09930	27	31
AT5G09940	0	0
AT5G09950	15	3
AT5G09960	357	255
AT5G09970	0	0
AT5G09975	0	0
AT5G09976	7	4
AT5G09978	539	422
AT5G09980	185	130
AT5G09990	22	14
AT5G09995	192	142
AT5G01645	0	0
AT5G10000	0	0
AT5G10010	860	502
AT5G10020	699	597
AT5G10030	905	701
AT5G10040	106	33
AT5G10050	397	252
AT5G10060	628	371
AT5G10070	221	171
AT5G10080	118	63
AT5G10090	0	1
AT5G10100	314	192
AT5G01655	0	0
AT5G10110	171	119
AT5G01665	0	0
AT5G10120	4	8
AT5G10130	615	422
AT5G01675	2	0
AT5G10140	7	7
AT5G10150	6	75
AT5G10160	751	578
AT5G10170	888	699
AT5G10180	155	208
AT5G10190	237	213
AT5G10200	448	358
AT5G10210	423	294
AT5G10220	4	0
AT5G10230	1011	1258
AT5G10235	0	0
AT5G10240	664	453
AT5G10250	0	6
AT5G10260	115	86
AT5G10270	369	275
AT5G01685	0	0
AT5G10278	99	73
AT5G01695	0	0
AT5G10280	796	873
AT5G10290	684	571
AT5G10300	184	135
AT5G10310	20	10
AT5G10320	68	49
AT5G01705	0	0
AT5G01725	0	0
AT5G01735	0	0
AT5G01745	0	0
AT5G10330	215	142
AT5G10336	11	3
AT5G10340	1	4
AT5G10350	741	515
AT5G10360	7269	4913
AT5G10370	212	200
AT5G10380	3	10
AT5G10390	211	154
AT5G10400	575	393
AT5G10410	260	272
AT5G10420	0	0
AT5G10430	4513	3496
AT5G10435	42	15
AT5G10440	23	13
AT5G10450	7563	6643
AT5G10455	0	0
AT5G10460	261	222
AT5G10470	700	702
AT5G10480	2202	1905
AT5G10490	698	543
AT5G10500	0	0
AT5G01755	0	0
AT5G10510	394	183
AT5G10520	242	178
AT5G10525	0	0
AT5G10540	1780	1310
AT5G10530	18	4
AT5G01765	0	0
AT5G10550	1697	1476
AT5G10560	781	626
AT5G10570	2	5
AT5G01775	4	1
AT5G01785	0	0
AT5G10572	0	0
AT5G10580	1784	1263
AT5G10590	0	0
AT5G01795	0	0
AT5G10600	198	172
AT5G10605	8	20
AT5G10610	370	329
AT5G10620	28	18
AT5G10625	229	181
AT5G10630	417	289
AT5G10650	422	405
AT5G01805	0	0
AT5G10660	4	9
AT5G10680	9	6
AT5G10690	97	101
AT5G10695	87	76
AT5G01815	10	5
AT5G10700	84	53
AT5G10710	209	160
AT5G01825	0	0
AT5G10720	431	248
AT5G10730	477	346
AT5G10740	432	367
AT5G10745	321	218
AT5G10750	499	466
AT5G10760	0	0
AT5G10770	1507	1208
AT5G10780	1206	843
AT5G10790	264	239
AT5G10800	66	36
AT5G10810	262	202
AT5G10820	548	447
AT5G10830	816	722
AT5G10840	2361	1775
AT5G01835	3	3
AT5G10860	3851	3414
AT5G10870	157	158
AT5G10880	0	0
AT5G10890	0	3
AT5G10900	122	95
